"barcodes" "embedding" "cluster" "membership_prob" "outlier_scores"
"TCGA-XF-A9SL-01A-11R-A39I-07" "A9SL" 12.0102904134363 4 0.452696082203466 0.357242419083259
"TCGA-G2-A2ES-01A-11R-A180-07" "A2ES" 5.24348404150012 3 0.564242948243782 0
"TCGA-CU-A0YO-01A-11R-A10U-07" "A0YO" -3.73825272507634 2 0.381849172033155 0.114382391072709
"TCGA-FJ-A3ZE-01A-11R-A23N-07" "A3ZE" -9.14581783064914 1 0.481977761794396 0.170215604535709
"TCGA-G2-A3IB-01A-11R-A20F-07" "A3IB" -5.36650674032221 0 0 0.602940023155975
"TCGA-CU-A5W6-01A-11R-A28M-07" "A5W6" -3.54814274389322 2 0.403755429356589 0.0818444558251142
"TCGA-GU-A42P-01A-11R-A23W-07" "A42P" -4.41223123885706 2 0.161570182018095 0.347058935072086
"TCGA-4Z-AA82-01A-11R-A39I-07" "AA82" 7.70366056736484 0 0 0.746006460760915
"TCGA-G2-A3IE-01A-11R-A20F-07" "A3IE" -7.248981077591 1 0.418005690838886 0.261424445221678
"TCGA-XF-AAMX-01A-11R-A42T-07" "AAMX" 4.95921467049422 3 0.411190817995872 0.207970457095132
"TCGA-XF-A8HC-01A-11R-A36F-07" "A8HC" -9.69274982149219 1 0.570153230233504 0
"TCGA-ZF-A9RD-01A-11R-A42T-07" "A9RD" -3.8719779226765 2 0.319525740286841 0.19549453868955
"TCGA-XF-A9SZ-01A-11R-A39I-07" "A9SZ" 14.0947297413872 4 0.6459684110904 0.00634928280656732
"TCGA-FD-A5BZ-01A-11R-A28M-07" "A5BZ" 14.6723831003984 4 0.324231632001587 0.479431475505257
"TCGA-DK-A1A3-01A-11R-A13Y-07" "A1A3" 4.8454978687027 3 0.335394122008145 0.29829951445805
"TCGA-FD-A3B5-01A-11R-A20F-07" "A3B5" 6.24837964702951 3 0.0790159992068309 0.493634778802579
"TCGA-C4-A0F7-01A-11R-A084-07" "A0F7" -5.04896824906075 0 0 0.605332841584429
"TCGA-K4-A4AC-01A-21R-A26T-07" "A4AC" 0.181053851345123 0 0 0.684523908143511
"TCGA-4Z-AA7Q-01A-11R-A39I-07" "AA7Q" -8.56763459975829 1 0.464973520230524 0.196587858694952
"TCGA-GV-A3QH-01A-11R-A220-07" "A3QH" -9.83778241768287 1 0.508880729236355 0.124760938217464
"TCGA-DK-AA75-01A-11R-A39I-07" "AA75" -9.85979823002526 1 0.488508221097954 0.159621351707367
"TCGA-ZF-AA4U-01A-11R-A38B-07" "AA4U" -10.507046345775 1 0.30407433847359 0.382338095101005
"TCGA-FD-A5BX-01A-11R-A26T-07" "A5BX" 12.5274933338825 4 0.321316759556123 0.481667262036589
