"barcodes" "embedding" "cluster" "membership_prob" "outlier_scores"
"TCGA-PD-A5DF-01A-11R-A27V-07" "A5DF" 0.386220695726542 1 0.351622034340331 0.0987693726140894
"TCGA-CC-A8HV-01A-11R-A36F-07" "A8HV" 3.731190658534 1 0.261947608986107 0.0839705323895551
"TCGA-FV-A23B-01A-11R-A16W-07" "A23B" -11.4075022939412 0 0 0.599521603116361
"TCGA-DD-A3A3-01A-11R-A22L-07" "A3A3" 7.35096685293327 1 0.251719304740443 0.0964918070289645
"TCGA-DD-A39V-01A-11R-A213-07" "A39V" 8.21763118968438 1 0.0932659985149931 0.355557330134678
"TCGA-BC-4072-01B-11R-A155-07" "4072" -0.708785266301784 0 0 0.447702699048147
"TCGA-KR-A7K0-01A-12R-A33R-07" "A7K0" 1.31684135223474 1 0.309081296275794 0.154259281699928
"TCGA-DD-AAC8-01A-11R-A41C-07" "AAC8" 4.5037101418058 1 0.323922261190927 0
"TCGA-DD-A4NE-01A-11R-A27V-07" "A4NE" 7.40581826181941 1 0.261675197574707 0.0843085094957503
"TCGA-CC-A7IG-01A-11R-A33J-07" "A7IG" 5.90677312952249 1 0.313391731246422 0.0153370275654001
"TCGA-DD-A1EL-01A-11R-A155-07" "A1EL" 4.65970780007541 1 0.309913207103935 0.0203004234122507
"TCGA-FV-A3R2-01A-11R-A22L-07" "A3R2" 2.60519413571577 1 0.209417137241465 0.260876869078888
"TCGA-BC-A10Q-01A-11R-A131-07" "A10Q" -0.217326416994999 1 0.0977653850988334 0.352343535568435
"TCGA-ED-A8O6-01A-11R-A36F-07" "A8O6" 2.50924921463597 1 0.195414719956147 0.273740030711455
"TCGA-CC-A7IE-01A-21R-A38B-07" "A7IE" -10.8088931344926 0 0 0.472482304322917
"TCGA-2Y-A9H5-01A-11R-A38B-07" "A9H5" 9.26781733905992 0 0 0.498038562929566
"TCGA-DD-AACD-01A-11R-A41C-07" "AACD" 8.46093309815601 1 0.0416516770454897 0.390265452781096
"TCGA-CC-5264-01A-01R-A131-07" "5264" 5.27412609115185 1 0.303801577128161 0.0289007894901112
"TCGA-UB-A7MF-01A-11R-A33J-07" "A7MF" 7.73965919190462 1 0.177250793154163 0.289773753760476
"TCGA-BC-A10S-01A-22R-A131-07" "A10S" -7.93204119344627 2 0.131493525690092 0.327674218508183
"TCGA-DD-A11B-01A-11R-A131-07" "A11B" -9.71756153502484 0 0 0.426602033323731
"TCGA-G3-A25Y-01A-11R-A16W-07" "A25Y" -0.871085606390933 0 0 0.487937649583155
"TCGA-DD-A3A6-01A-11R-A22L-07" "A3A6" -6.5004972994076 2 0.405721144847752 0.0174321549409362
"TCGA-G3-AAV6-01A-21R-A37K-07" "AAV6" 11.1629852622145 0 0 0.601857298363549
"TCGA-BC-A10R-01A-11R-A131-07" "A10R" -2.84566571729494 2 0.13068441045691 0.328299985534576
"TCGA-DD-AACC-01A-11R-A41C-07" "AACC" -4.86126982093627 2 0.34560881992261 0.107690763799633
"TCGA-DD-A3A1-01A-11R-A213-07" "A3A1" 5.78361424396162 1 0.304582580468217 0.0278101758447927
"TCGA-FV-A3I1-01A-11R-A22L-07" "A3I1" 1.03268194183737 1 0.414316100997471 0.00229785765010238
"TCGA-DD-A4NK-01A-11R-A28V-07" "A4NK" -8.53725604862388 0 0 0.486121962286183
"TCGA-DD-A3A7-01A-11R-A22L-07" "A3A7" 7.4325824728043 1 0.238566894215962 0.112098313465207
"TCGA-BC-A10U-01A-11R-A131-07" "A10U" -10.2250532347058 0 0 0.427641503307735
"TCGA-BC-A10T-01A-11R-A131-07" "A10T" -7.72252139204675 2 0.221359786474191 0.250078169701728
"TCGA-G3-A7M9-01A-23R-A352-07" "A7M9" 6.02516562037578 1 0.244233347167436 0.105441161931162
"TCGA-ES-A2HT-01A-12R-A180-07" "A2HT" -4.66005264205131 2 0.416080705928888 0
"TCGA-BC-A10X-01A-11R-A131-07" "A10X" -6.79322278148473 2 0.310833958003491 0.152716096719592
"TCGA-BC-A10Z-01A-11R-A131-07" "A10Z" 10.8728435372476 0 0 0.519913095902665
"TCGA-CC-A5UE-01A-11R-A28V-07" "A5UE" 5.13893215923963 1 0.234823261624894 0.116442378731011
"TCGA-DD-A73B-01A-12R-A32O-07" "A73B" 5.24037862619713 1 0.29254742248383 0.0443490344147919
"TCGA-DD-AADF-01A-11R-A41C-07" "AADF" 3.98223557181107 1 0.246285424255202 0.103005619679051
"TCGA-GJ-A9DB-01A-11R-A37K-07" "A9DB" 1.02588061233756 1 0.408443811864305 0.0122018964652859
"TCGA-CC-5263-01A-01R-A131-07" "5263" -0.141676788387634 1 0.126966644331155 0.330680692804694
"TCGA-WX-AA47-01A-11R-A39D-07" "AA47" -1.1048501032561 0 0 0.44832597435629
"TCGA-ES-A2HS-01A-11R-A180-07" "A2HS" -4.85473153375378 2 0.35124404400605 0.0999399871766923
"TCGA-FV-A4ZP-01A-12R-A266-07" "A4ZP" 1.12575563189388 1 0.428585099295755 0
"TCGA-2Y-A9GT-01A-11R-A38B-07" "A9GT" -5.72120789242091 2 0.259733856165768 0.211203566535295
"TCGA-5R-AAAM-01A-12R-A41C-07" "AAAM" -6.87363025140536 2 0.264994950677925 0.205557438537756
"TCGA-ZP-A9CV-01A-11R-A38B-07" "A9CV" -2.33190341299478 2 0.114821810602109 0.340337006644616
"TCGA-XR-A8TF-01A-11R-A36F-07" "A8TF" 10.6018154560087 0 0 0.453333408822249
"TCGA-DD-A1EE-01A-11R-A131-07" "A1EE" 11.7437351211578 0 0 0.703243271206449
